establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Laguna Blanca,No,0101000020E6100000DA3610BBC47551C09F11D7F7825C44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.84013249,-40.72274683]}"""
"Escuela Hogar N 162,Fotovoltaico,RIO NEGRO,PILCANIYEU,,No,0101000020E6100000DA3610BBC47551C09F11D7F7825C44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.84013249,-40.72274683]}"""
",Fotovoltaico,RIO NEGRO,VALCHETA,Arroyo Tembrao,No,0101000020E610000084249ADDA69550C0D9388BAC6F9B44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.33830967,-41.21434552]}"""
",Fotovoltaico,RIO NEGRO,VALCHETA,Chipauquil,Mapuche,0101000020E61000009D3CFA9919A950C0D2853F60F17A44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.64218759,-40.96049121]}"""
"Escuela Hogar N 72,Fotovoltaico,RIO NEGRO,VALCHETA,,No,0101000020E610000084249ADDA69550C04ABF75AC6F9B44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.33830967,-41.21434551]}"""
"Escuela N 194,Fotovoltaico,RIO NEGRO,VALCHETA,,Mapuche,0101000020E61000009D3CFA9919A950C0D2853F60F17A44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.64218759,-40.96049121]}"""
",Fotovoltaico,RIO NEGRO,25 DE MAYO,Queupu Niyeu,No,0101000020E610000063E2A0CEE60A51C0B73C7BD3992444C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.17033735,-40.2859444]}"""
",Fotovoltaico,RIO NEGRO,25 DE MAYO,Pilquinyeu,No,0101000020E610000041EE435A7A1651C084754E7995EA44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.35121781,-41.83268658]}"""
"Escuela Hogar N 76,Fotovoltaico,RIO NEGRO,25 DE MAYO,,No,0101000020E610000041EE435A7A1651C084754E7995EA44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.35121781,-41.83268658]}"""
"Escuela N 227,Fotovoltaico,RIO NEGRO,9 DE JULIO,,No,0101000020E610000063E2A0CEE60A51C0B73C7BD3992444C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.17033735,-40.2859444]}"""
"E.P.B. / J.I.R.M.M. 3 / 4 PROVINCIA DE TUCUMAN,Fotovoltaico,BUENOS AIRES,DAIREAUX,,No,0101000020E61000009816D43B05E94EC0A5EC5F1F3E4342C0,""{""""type"""":""""Point"""",""""coordinates"""":[-61.82047222,-36.52533333]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Plaza Montero,No,0101000020E610000018265305A3924DC03480B740821242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1456,-36.1446]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,La Cubana,No,0101000020E610000025068195439B4DC06B9A779CA21B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.213,-36.2159]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,La Espadana,No,0101000020E61000001D5A643BDF974DC036CD3B4ED1F941C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1865,-35.9517]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Las Flores,No,0101000020E6100000DD408177F2914DC0A7B1BD16F4F241C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.140212,-35.898074]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Las Flores,No,0101000020E610000024D40CA9A2924DC077A38FF9801242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.145589,-36.144561]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Las Flores,No,0101000020E610000007EDD5C7439B4DC02AABE97AA21B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.213006,-36.215896]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,Las Flores,No,0101000020E61000005E49F25CDF974DC011C30E63D2F941C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.186504,-35.951733]}"""
"E.P. N 14,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E61000001973D712F2914DC0D044D8F0F4F241C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1402,-35.8981]}"""
"E.P. N 40,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E610000025068195439B4DC06B9A779CA21B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.213,-36.2159]}"""
"E.P. N 42,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E61000001D5A643BDF974DC036CD3B4ED1F941C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1865,-35.9517]}"""
"E.P. N 23,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E610000018265305A3924DC03480B740821242C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1456,-36.1446]}"""
"E.P.B. 5 GRAL. MANUEL BELGRANO,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E610000054E3A59BC4844DC05DDF4567B2EC41C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.03725,-35.84919444]}"""
"E.P.B. / J.I.R.M.M. 22 / 12 ESTEBAN ECHEVERRIA,Fotovoltaico,BUENOS AIRES,RAUCH,,No,0101000020E61000004E0AD2107E9A4DC05865536C542D42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.20697222,-36.35413889]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,La Blanqueada,No,0101000020E610000037894160E5684DC08126C286A70742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.8195,-36.0598]}"""
"E.P. N 29,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E610000037894160E5684DC08126C286A70742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.8195,-36.0598]}"""
",Fotovoltaico,BUENOS AIRES,RAUCH,La Dormida,No,0101000020E61000002BF697DD93674DC074B515FBCB2642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.8092,-36.3031]}"""
"E.P. N 39,Fotovoltaico,BUENOS AIRES,RAUCH,,No,0101000020E61000002BF697DD93674DC074B515FBCB2642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.8092,-36.3031]}"""
"E.P.B. 32 PROVINCIA DE SALTA,Fotovoltaico,BUENOS AIRES,RAUCH,,No,0101000020E61000007F3E1DD1B5594DC03D0AD7A3702942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.70086111,-36.32375]}"""
"Escuela N6 Fray Mamerto Esquiu,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E6100000BA6587F887EF4FC0B309302C7FC239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.871337,-25.759753]}"""
"Escuela N 13 Jose Mendez,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E610000053B3075A81EF4FC0D316D7F84CC239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.871135,-25.758987]}"""
"Escuela N 25 Salvador Marcaida,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E61000008A213999B8EF4FC01A1A4F0471C239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.872821,-25.759537]}"""
"Escuela N 9 Almirante Brown,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E6100000EFE6A90EB9EF4FC061C614AC71C239C0,""{""""type"""":""""Point"""",""""coordinates"""":[-63.872835,-25.759547]}"""
"E.P.B. 11 RICARDO ROJAS,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E6100000DA76B90C28D84CC04F117559ABCB42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.68872222,-37.59116667]}"""
"E.P.B. 16 ARTURO Z. PAZ,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E6100000D6274E28A3FF4CC0242B7DF0F3C042C0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.99716667,-37.50744444]}"""
"E.P.B. 17 MANUEL BELGRANO,Fotovoltaico,BUENOS AIRES,MAR CHIQUITA,,No,0101000020E6100000984273DFE2B74CC0C17263FEFABD42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.43661111,-37.48422222]}"""
"E.P.B. 13 MARTIN MIGUEL DE GÃEMES,Fotovoltaico,BUENOS AIRES,GENERAL LAVALLE,,No,0101000020E610000059E818CAE8894CC0ED001D20F74642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.07741667,-36.55441667]}"""
"E.P.B. 27 SAN MIGUEL DE TUCUMAN,Fotovoltaico,BUENOS AIRES,GENERAL LAVALLE,,No,0101000020E610000003DAEB174B924CC0D2A5A057135F42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.14291667,-36.74277778]}"""
"E.P.B. / J.I.R.M.M. 10 / 4 ALMAFUERTE,Fotovoltaico,BUENOS AIRES,GENERAL LAVALLE,,No,0101000020E61000006135549464664CC039E0671A9C6A42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.79994444,-36.83288889]}"""
"E.P.B. / J.I.R.M.M. 26 / 5 RAFAEL OBLIGADO,Fotovoltaico,BUENOS AIRES,GENERAL LAVALLE,,No,0101000020E61000000F08B6423F764CC03B378ED4524842C0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.92380556,-36.56502778]}"""
"E.P.B. 34 JUAN JOSE GENTILINI,Fotovoltaico,BUENOS AIRES,LAS FLORES,,No,0101000020E6100000BCA032BCE1A84DC0002C9FA3DD2642C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.31938889,-36.30363889]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,La Juanita - Cuartel XXI (R.P. 50),No,0101000020E61000004BC8073D9BB54DC0C1A8A44E403B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4188,-36.4629]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Est. Miramontes - Cuartel XX,No,0101000020E610000039454772F9B74DC00F0BB5A6792742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4373,-36.3084]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Los 4 Caminos - Cuartel XXI,No,0101000020E6100000E63FA4DFBEAE4DC0705F07CE193942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.3652,-36.4461]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E6100000ED28CE5147AB4DC0548D5E0D504A42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.338114,-36.580568]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E61000004B051555BFAE4DC08D4468041B3942C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.365214,-36.446137]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E610000087FA5DD89AB54DC0CD22145B413B42C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.418788,-36.462932]}"""
",Fotovoltaico,BUENOS AIRES,AZUL,Azul,No,0101000020E6100000630CACE3F8B74DC0931D1B81782742C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.437283,-36.308365]}"""
