establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
"Escuela N 919 Alen Cue,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E6100000D26F5F07CEB94CC03D2CD49AE62D3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.4516,-29.1793]}"""
"Escuela N 590,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E6100000F085C954C1C04CC0EA95B20C714C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.5059,-29.2986]}"""
"Escuela N 342,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E61000009E1BC33105B74CC0E970BE2209523DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.42984602,-29.3204519]}"""
"Escuela N 919 Alen Cue,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E6100000370EA3BDCDB94CC00C80C88DE82D3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.45159121,-29.17932974]}"""
"Escuela N590,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E6100000DF1AD82AC1C04CC0E4D87A86704C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.505895,-29.298592]}"""
"Escuela N 333 Matias Pipet,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E6100000C5FEB27BF2884CC03F575BB1BF5C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.0699,-29.3623]}"""
"Escuela N 839 Machaca Guemes,Fotovoltaico,CORRIENTES,CURUZU CUATIA,,No,0101000020E610000030B28D0D97664DC0C44827F9AE533DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.80148477,-29.32688863]}"""
"Escuela N 880 Gustavo Antonio Graciano,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000CFF2C0F05F6C4DC02BCD39BA42783DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.84667787,-29.46976818]}"""
"Escuela N 179,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000FED3EC058F9D4DC08451623A21733DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.23092722,-29.44972577]}"""
"Escuela N 372,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E61000007C908E40767D4DC0125AA4C322773DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.98017127,-29.46537421]}"""
"Escuela N 544,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000CC15F782436F4DC0FA9E4FECBA5A3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.86924779,-29.35441472]}"""
"Escuela N 545,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000C33E4BA1BD7F4DC0CBD765F84F6C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.99797455,-29.42309525]}"""
"Escuela N 603,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000D9BB798935904DC0857E2226138C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.12663382,-29.54716719]}"""
",Fotovoltaico,CORRIENTES,LAVALLE,Lavalle,No,0101000020E61000004FEB36A8FD664DC0DB368C82E0353DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.804616,-29.210457]}"""
"E.P. N 161 Dr. Jose Francisco Quintana,Fotovoltaico,CORRIENTES,LAVALLE,,No,0101000020E6100000492EFF21FD664DC0D9CEF753E3353DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.8046,-29.2105]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E61000002A7A3B1D23814DC09FE74F1BD5933DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.0088841,-29.5774705]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E610000073A7CF69717A4DC03B14AA40D2903DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9565861,-29.5657082]}"""
"Escuela N 284,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000009A779CA223814DC0A4703D0AD7933DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.0089,-29.5775]}"""
"Escuela Placios.S.,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E610000043AD69DE717A4DC0E25817B7D1903DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9566,-29.5657]}"""
"Escuela N 366,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000E59404D1285C4DC096B7C0715B8C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.71999562,-29.54827033]}"""
"Escuela N 193,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E6100000CC7F48BF7DF54CC0075F984C158C3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.9179,-27.5472]}"""
"Escuela N 208,Fotovoltaico,CORRIENTES,GENERAL PAZ,,No,0101000020E610000061A7583508DF4CC001309E41438B3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.742438,-27.543995]}"""
",Fotovoltaico,CORRIENTES,SALADAS,San Lorencito,No,0101000020E61000004E62105839344DC0AF946588630D3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.408,-28.0523]}"""
",Fotovoltaico,CORRIENTES,SALADAS,San Lorencito,No,0101000020E6100000ADA7D22639344DC0CD597E64630D3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.40799413,-28.05229786]}"""
"E.P N 307 Hilarion Ursulo Riquelme,Fotovoltaico,CORRIENTES,SALADAS,,No,0101000020E61000004E62105839344DC0AF946588630D3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.408,-28.0523]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,San Luis del Palmar,No,0101000020E6100000486DE2E47EF54CC0325A4755138C3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.917935,-27.54717]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Lomas de Galarza,No,0101000020E6100000371AC05B20094DC0C520B07268813BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0713,-27.5055]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Costa Grande,No,0101000020E61000005A643BDF4F0D4DC01895D40968723BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.104,-27.4469]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Tres Cruces,No,0101000020E6100000EA04341136044DC032E6AE25E4933BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0329,-27.5777]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Costa Grande,No,0101000020E6100000F2B0506B9A074DC0FF21FDF675703BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0594,-27.4393]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Laguna Negra,No,0101000020E61000009EEFA7C64B0F4DC08638D6C56D843BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.1195,-27.5173]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Riachuelo San Jose,No,0101000020E61000001D5A643BDF3F4DC0AED85F764F6E3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.499,-27.4309]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Albardones,No,0101000020E6100000E4839ECDAA0F4DC0022B8716D99E3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.1224,-27.6205]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,Albardones,No,0101000020E610000068093202AA0F4DC02A9EC431DC9E3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.12237575,-27.6205474]}"""
",Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,San Luis del Palmar,No,0101000020E610000066AE800021094DC0ED9736B96B813BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.07131964,-27.50554998]}"""
"E.P.N 437,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E6100000371AC05B20094DC0C520B07268813BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0713,-27.5055]}"""
"Escuela N 754 Maria A. Correa de Cabral,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E61000005A643BDF4F0D4DC01895D40968723BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.104,-27.4469]}"""
"Escuela N 122 Pedro Cristaldo,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E6100000EA04341136044DC032E6AE25E4933BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0329,-27.5777]}"""
"Escuela N 886,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E6100000F2B0506B9A074DC0FF21FDF675703BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.0594,-27.4393]}"""
"Escuela N 534,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E61000009EEFA7C64B0F4DC08638D6C56D843BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.1195,-27.5173]}"""
"Escuela N 876,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E61000001D5A643BDF3F4DC0AED85F764F6E3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.499,-27.4309]}"""
"E.P. N 845,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E6100000E4839ECDAA0F4DC0022B8716D99E3BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.1224,-27.6205]}"""
"Escuela N 110 Jose Maria Yanez Calderon,Fotovoltaico,CORRIENTES,SAN LUIS DEL PALMAR,,No,0101000020E61000006C16BBBF72174DC0A851CC6A4F773BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.18318936,-27.46605556]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E6100000B8D33142D3924DC09DBAF2599ED33DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1470721,-29.826635]}"""
"Escuela N 905,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000ED9E3C2CD4924DC0A4DFBE0E9CD33DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1471,-29.8266]}"""
"Escuela N 806,Fotovoltaico,CORRIENTES,SAUCE,,No,0101000020E610000056F58F1192444DC00D4B0BB0F2FC3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.53570766,-29.98807812]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E61000001390A3F795B34DC08E528D878CEF3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.40301414,-29.93573806]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E610000072C13A0A679A4DC0735E8C16DAF03DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.20626953,-29.94082776]}"""
"Escuela Primera Junta,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000DD24068195B34DC001DE02098AEF3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.403,-29.9357]}"""
"Escuela N 31,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000001895D409689A4DC0A913D044D8F03DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.2063,-29.9408]}"""
",Fotovoltaico,BUENOS AIRES,LAS FLORES,El Tropezon,No,0101000020E61000001973D712F2914DC0D044D8F0F4F241C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.1402,-35.8981]}"""
"Escuela Nº 148 ""Policía de la Provincia de Jujuy"",Fotovoltaico,JUJUY,VALLE GRANDE,San Lucas,No,0101000020E61000001D3D7E6FD34250C001A777F17E9C37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.044155,-23.611312]}"""
"Escuela Nº 233 ""Maestro José Amancio Aparicio"",Fotovoltaico,JUJUY,VALLE GRANDE,Santa Bárbara,No,0101000020E6100000E8BCC62E514050C0C2BE9D44849F37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.004955,-23.623112]}"""
"Escuela Nº 351 ""José María Fascio"",Fotovoltaico,JUJUY,TILCARA,El Durazno,No,0101000020E610000037AAD381AC4D50C0E36E10AD159D37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.213654,-23.613612]}"""
"Escuela Nº 104 ""Ojo de Agua"",Fotovoltaico,JUJUY,SANTA BÁRBARA,Pie de la Cuesta,No,0101000020E6100000F0A5F0A0D91350C0852348A5D84138C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.310158,-24.257212]}"""
"Escuela Nº 76 ""Juan Bautista Ambrosetti"",Fotovoltaico,JUJUY,TILCARA,Molulo,No,0101000020E6100000B745990D324A50C043ACFE08C39037C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.159305,-23.565476]}"""
"Escuela Nº 219,Fotovoltaico,JUJUY,TILCARA,Yaquispampa,No,0101000020E610000016FA60191B5050C02F14B01D8CBC37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.251654,-23.736513]}"""
"Escuela Nº 196,Fotovoltaico,JUJUY,TILCARA,Loma Larga,No,0101000020E6100000D3A3A99ECC4A50C04704E3E0D28937C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.168739,-23.538374]}"""
"Escuela Nº 237,Fotovoltaico,JUJUY,VALLE GRANDE,Caspalá,No,0101000020E6100000D3DD7536E44550C0AA29C93A1C5D37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.092054,-23.363712]}"""
"Escuela Nº 130,Fotovoltaico,JUJUY,VALLE GRANDE,Alto Calilegua,No,0101000020E6100000581CCEFC6A3950C033FCA71B289037C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.897155,-23.563112]}"""
",Fotovoltaico,RIO NEGRO,ÃORQUINCO,Chacay Huarruca,No,0101000020E61000001CB0EDE5A5AD51C0B3CE7CF75CD744C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.71325062,-41.68252462]}"""
"Escuela Nº 89 ""Salvador de Benedetti"",Fotovoltaico,JUJUY,VALLE GRANDE,Caspalá,No,0101000020E6100000D6C4025FD14B50C0FB9463B2B86F37C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.184654,-23.436412]}"""
"Escuela Nº 358 ""Rosario Vera Peñaloza"",Fotovoltaico,JUJUY,VALLE GRANDE,Caspalá,No,0101000020E610000061DEE34C135350C01E6FF25B74C637C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.298053,-23.775213]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E6100000C8B3CBB73E9A4DC09DBD33DAAA303EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.205039,-30.190107]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E610000071E6577380904DC0389F3A5629713DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.12892,-29.442037]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E610000083DF8618AF2B4DC088A1D5C919B63BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.341281,-27.711331]}"""
",Fotovoltaico,LA RIOJA,,,,0101000020E6100000D5D0066003984DC07F6DFDF49FE53CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.187603,-28.896972]}"""
",Fotovoltaico,SANTA FE,,,,0101000020E6100000D5D0066003984DC07F6DFDF49FE53CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.187603,-28.896972]}"""
",Fotovoltaico,SANTA FE,,,,0101000020E6100000D5D0066003984DC07F6DFDF49FE53CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.187603,-28.896972]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E6100000C8B3CBB73E9A4DC09DBD33DAAA303EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.205039,-30.190107]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E610000071E6577380904DC0389F3A5629713DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.12892,-29.442037]}"""
",Fotovoltaico,CORRIENTES,,,No,0101000020E610000083DF8618AF2B4DC088A1D5C919B63BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.341281,-27.711331]}"""
",Fotovoltaico,TUCUMAN,,,,0101000020E6100000037AE1CE857A50C09885764EB3543BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.914417,-27.330861]}"""
",Fotovoltaico,TUCUMAN,,,,0101000020E6100000037AE1CE857A50C09885764EB3543BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.914417,-27.330861]}"""
",Fotovoltaico,ENTRE RIOS,Islas,,,0101000020E6100000CB2E185C73B94DC03D0D18247D9E40C0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.448833,-33.238194]}"""
